60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,76.0
-71,-73,-70,-78,-66,-51,-53,-74,-60,-68,-66,-74,-74,-76,-76,-71,-75,-78.0,,-79.0,,-79.0,-80.0,,-75.0,-78.0,-79.0,-80.0,-79.0,,
-78,-71,-67,-59,-69,-50,-57,-71,-63,-64,-64,-69,-70,-75,-63,-71,-76,-75.0,,,,-80.0,-80.0,,-79.0,,,-79.0,,,
-79,-58,-61,-60,-63,-51,-62,-67,-64,-72,-64,-69,-71,-76,-63,-64,-79,-78.0,,,,,,,-80.0,,,-78.0,,,
-74,-79,-57,-59,-62,-53,-62,-61,-68,-63,-68,-69,-78,-78,-63,-66,-74,-76.0,,,,,,,-80.0,,,-79.0,,,
-73,-71,-57,-58,-63,-47,-65,-65,-59,-74,-67,-74,-73,-74,-62,-64,-75,-78.0,,,,,,,,,,,,,
-71,-69,-69,-57,-58,-47,-61,-57,-61,-73,-69,-70,-71,-79,-75,-68,-73,,,,,,,,,,,,,,
-70,-74,-60,-63,-58,-57,-56,-60,-67,-61,-66,-74,-74,-76,-80,-65,-80,-76.0,-80.0,-80.0,-79.0,,-79.0,-79.0,-79.0,-80.0,-79.0,-80.0,-79.0,,-75.0
-69,-61,-63,-57,-58,-52,-53,-57,-74,-57,-64,-69,-70,-79,-77,-71,-78,-79.0,,,,,,-80.0,-79.0,-79.0,,-78.0,,,-78.0
-72,-57,-66,-63,-58,-51,-51,-57,-62,-60,-64,-69,-71,-69,-79,-66,-71,-76.0,,,,,,-79.0,-80.0,,,,,,-79.0
-70,-68,-64,-60,-55,-54,-53,-57,-70,-62,-68,-69,-78,-69,-75,-80,-74,-72.0,,,,,,,-77.0,,,,,,-78.0
-71,-70,-65,-59,-62,-50,-57,-55,-71,-61,-67,-74,-73,-72,-76,-71,-78,-78.0,,,,,,,,,,,,,-78.0
-71,-70,-67,-61,-61,-51,-51,-58,-78,-60,-69,-70,-71,-79,-76,-72,-71,-74.0,,,,,,,,,,,,,-77.0
