A8032A311FAA,A8032A31204E,C45BBE37B346,C45BBE384CD2,C45BBE386362,C45BBE386952,C45BBE39870E,C45BBE39F42A,C45BBE39F56A,C45BBE39F9AE
0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-67.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-62.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-57.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-71.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-72.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-79.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-80.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-79.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-72.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-78.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-72.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-77.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-70.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-69.0,0.0,0.0,0.0,0.0
